recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
CENTRAL ADMIXTURE PHARMACY SERVICES INC,308,7,1,0.32,2023-05-31,2026-07-01,26.0,3
CARDINAL HEALTH INC,213,7,7,3.29,2021-04-07,2025-09-03,79.0,4
MCKESSON MEDICAL SURGICAL INC CORPORATE OFFICE,157,7,0,0.0,2022-06-15,2025-07-30,63.0,3
AKORN INC,132,18,0,0.0,2021-01-20,2023-06-07,42.0,3
VITA PHARMACY LLC DBA TALON COMPOUNDING PHARMACY,130,1,0,0.0,2021-11-17,2021-11-17,36.0,1
GLENMARK PHARMACEUTICALS INC USA,123,43,2,1.63,2021-09-29,2026-06-24,33.0,6
FAMILY DOLLAR STORES LLC,117,4,0,0.0,2022-06-08,2023-05-10,69.0,2
OLYMPIA COMPOUNDING PHARMACY DBA OLYMPIA PHARMACY,94,3,0,0.0,2022-03-30,2022-06-01,23.0,1
SUN PHARMACEUTICAL INDUSTRIES INC,93,63,1,1.08,2021-02-03,2026-07-08,21.0,6
ACCORD HEALTHCARE INC,92,14,1,1.09,2021-02-17,2026-07-08,29.0,5
PERRIGO COMPANY PLC,81,2,0,0.0,2022-01-12,2022-03-02,127.0,1
NEPHRON STERILE COMPOUNDING CENTER LLC,73,7,0,0.0,2022-06-08,2025-03-19,27.0,3
DR REDDY S LABORATORIES INC,70,39,3,4.29,2021-03-03,2025-12-17,28.0,5
ULTRA SEAL CORPORATION,64,2,0,0.0,2021-11-03,2022-02-09,16.0,2
EDGE PHARMA LLC,61,6,0,0.0,2021-01-20,2022-02-02,58.0,2
TEVA PHARMACEUTICALS USA,60,16,1,1.67,2021-03-03,2022-02-09,27.0,2
WASHINGTON HOMEOPATHIC PRODUCTS INC,60,4,0,0.0,2021-04-14,2024-07-31,47.0,3
PHARMACY INNOVATIONS,59,1,0,0.0,2023-02-01,2023-02-01,41.0,1
TELIGENT PHARMA INC,59,15,3,5.08,2021-04-21,2022-03-30,15.0,2
GENOGENIX LLC,57,1,1,1.75,2025-10-15,2025-10-15,77.0,1
