report_month,total_recalls,class_i_recalls,class_ii_recalls,class_iii_recalls,not_yet_classified_recalls,unique_firms,median_reporting_lag_days,termination_date_coverage_pct,three_month_rolling_avg_recalls
2021-01,63,3,54,6,0,20,27.0,93.65,63.0
2021-02,26,7,12,7,0,16,30.0,88.46,44.5
2021-03,48,9,32,7,0,21,21.0,93.75,45.67
2021-04,44,14,22,8,0,19,27.0,93.18,39.33
2021-05,47,7,30,10,0,24,42.0,74.47,46.33
2021-06,236,10,209,17,0,22,79.0,98.31,109.0
2021-07,53,35,13,5,0,21,92.0,81.13,112.0
2021-08,59,16,42,1,0,20,27.0,89.83,116.0
2021-09,77,10,59,8,0,41,40.0,74.03,63.0
2021-10,96,11,83,2,0,25,47.0,77.08,77.33
2021-11,227,10,201,16,0,16,36.0,99.56,133.33
2021-12,40,3,22,15,0,21,33.0,87.5,121.0
2022-01,99,7,78,14,0,26,54.0,95.96,122.0
2022-02,184,12,163,9,0,26,21.0,98.91,107.67
2022-03,151,5,137,9,0,29,27.0,96.03,144.67
2022-04,56,6,42,8,0,23,23.0,100.0,130.33
2022-05,101,8,79,14,0,30,30.0,81.19,102.67
2022-06,277,5,263,9,0,26,47.0,76.17,144.67
2022-07,133,13,118,2,0,21,33.0,56.39,170.33
2022-08,170,6,154,10,0,33,69.0,39.41,193.33
2022-09,78,17,58,3,0,18,30.0,61.54,127.0
2022-10,25,1,15,9,0,18,20.0,72.0,91.0
2022-11,55,5,46,4,0,17,33.0,34.55,52.67
2022-12,20,3,14,3,0,15,19.5,85.0,33.33
2023-01,77,1,70,6,0,23,28.0,55.84,50.67
2023-02,161,16,142,3,0,23,43.0,98.14,86.0
2023-03,147,4,130,13,0,32,29.0,88.44,128.33
2023-04,64,0,58,6,0,17,23.0,54.69,124.0
2023-05,232,4,215,13,0,30,33.0,80.17,147.67
2023-06,107,4,98,5,0,17,42.0,13.08,134.33
2023-07,58,3,52,3,0,22,30.0,81.03,132.33
2023-08,170,1,162,7,0,20,26.0,90.0,111.67
2023-09,71,4,60,7,0,20,20.0,66.2,99.67
2023-10,68,5,57,6,0,17,20.0,86.76,103.0
2023-11,59,15,30,14,0,28,33.0,52.54,66.0
2023-12,38,10,22,6,0,25,29.5,31.58,55.0
2024-01,110,19,88,3,0,27,707.0,63.64,69.0
2024-02,73,36,32,5,0,27,40.0,28.77,73.67
2024-03,45,1,40,4,0,18,20.0,33.33,76.0
2024-04,54,4,46,4,0,18,146.0,79.63,57.33
2024-05,61,18,33,10,0,31,26.0,24.59,53.33
2024-06,54,3,38,13,0,24,30.0,16.67,56.33
2024-07,56,6,37,13,0,30,29.0,23.21,57.0
2024-08,24,8,11,5,0,21,24.5,25.0,44.67
2024-09,17,1,14,2,0,9,21.0,11.76,32.33
2024-10,34,5,28,1,0,21,29.0,47.06,25.0
2024-11,36,1,30,5,0,19,27.0,30.56,29.0
2024-12,93,4,86,3,0,28,34.0,32.26,54.33
2025-01,54,8,34,12,0,28,29.0,20.37,61.0
2025-02,37,5,30,2,0,15,28.0,10.81,61.33
2025-03,46,5,40,1,0,27,25.0,4.35,45.67
2025-04,97,4,88,5,0,30,34.0,11.34,60.0
2025-05,58,1,57,0,0,21,27.0,34.48,67.0
2025-06,30,9,19,2,0,16,32.0,0.0,61.67
2025-07,70,5,58,7,0,28,35.0,1.43,52.67
2025-08,49,0,47,2,0,23,26.0,2.04,49.67
2025-09,63,7,55,1,0,24,26.0,1.59,60.67
2025-10,117,2,101,14,0,34,49.0,0.85,76.33
2025-11,82,2,73,7,0,21,26.0,0.0,87.33
2025-12,62,1,53,8,0,21,40.0,0.0,87.0
2026-01,53,2,46,5,0,18,26.0,0.0,65.67
2026-02,46,3,40,3,0,16,23.0,0.0,53.67
2026-03,61,4,53,4,0,24,50.0,0.0,53.33
2026-04,100,1,93,6,0,31,33.0,3.0,69.0
2026-05,48,2,37,9,0,32,26.0,0.0,69.67
2026-06,74,3,65,6,0,25,19.5,0.0,74.0
2026-07,106,3,99,3,1,35,27.0,0.0,76.0
2026-08,0,0,0,0,0,0,,,60.0
